loss,val_loss,mape,val_mape
84198032.0,958962944.0,12.038766860961914,8.266806602478027
4921724.5,766307456.0,6.955175876617432,8.27171516418457
5197762.0,958305664.0,7.147279262542725,8.598535537719727
5194534.5,837865472.0,7.115751266479492,9.31167984008789
4703455.5,702053888.0,6.7554168701171875,7.166433334350586
4124275.5,513225184.0,6.401262283325195,6.4023118019104
3484441.75,466716608.0,5.887755393981934,6.808226108551025
3238684.5,404518720.0,5.655494689941406,6.146070957183838
3136940.25,23858633506816.0,5.5604753494262695,89.7020263671875
35839848.0,483422976.0,11.968456268310547,6.337630748748779
3125291.0,424884960.0,5.508762359619141,6.278689861297607
3138080.5,407931168.0,5.561777591705322,6.705337047576904
3146531.75,394035424.0,5.6132354736328125,6.236688137054443
3117505.0,413651840.0,5.593007564544678,7.029751777648926
3136225.25,392267392.0,5.598329067230225,6.07788610458374
3106747.5,400518464.0,5.618575572967529,6.045856952667236
3114465.0,403197376.0,5.615262985229492,6.079510688781738
92675464.0,399111040.0,8.068798065185547,6.770719528198242
3116606.5,407707200.0,5.623193740844727,6.038043022155762
3119942.75,392551616.0,5.689070701599121,6.031554222106934
3155776.0,390317344.0,5.632758617401123,6.474483489990234
3172928.75,389641760.0,5.6600213050842285,6.2730021476745605
3133941.25,391154176.0,5.629397869110107,6.116321563720703
3115035.5,395844896.0,5.621420383453369,6.104659557342529
3124277.25,400614240.0,5.649539470672607,6.756406784057617
3124546.0,394115936.0,5.650364398956299,6.54453706741333
3172175.0,392856800.0,5.648628234863281,6.107919692993164
3114076.25,401770720.0,5.605050563812256,6.907166481018066
3093033.25,388454656.0,5.5995073318481445,6.140828609466553
3083369.25,393333440.0,5.6052069664001465,6.5288825035095215
3087003.0,393778400.0,5.603271484375,6.079303741455078
3102631.0,403148576.0,5.626694679260254,6.9117279052734375
3067252.5,389892768.0,5.5641279220581055,6.182737350463867
3093725.75,390394624.0,5.5962700843811035,6.080485820770264
3096944.5,397698624.0,5.623369216918945,6.110401153564453
3072908.5,394636960.0,5.609355926513672,6.61504602432251
3072985.0,389185120.0,5.624955654144287,6.174652576446533
3094135.5,388473792.0,5.63331413269043,6.219945430755615
3076156.25,393470976.0,5.593107223510742,6.623757362365723
3094871.75,388900000.0,5.617705345153809,6.106332778930664
